BEASTtype	session	playerNr	uniquePlayerNr	period	animalName	actualNAnimals	firstEstimate	observedEstimate	secondEstimate	actualAngle	firstAngle	observedAngle	secondAngle	infoChoice	choice	payoff	A	B	previousChoice	previousPayoff	age	female	IOS	conf1	conf2	conf3	conf4	conf5	conf6	conf7	conf8	conf9	conf10	conf11	indiv1	coll1	coll2	indiv2	indiv3	coll3	coll4	indiv4	orderofTasks
2	1	1	1001	1						127	211	154	212.4																														1
2	1	1	1001	2						67	208	195	210.5																														1
2	1	1	1001	3						326	172	166	174.4																														1
2	1	1	1001	4						229	332	279	331																														1
2	1	1	1001	5						199	215	191	213																														1
2	1	1	1001	6	ant	93	61	74	62																																		1
2	1	1	1001	7	bee	78	60	72	62																																		1
2	1	1	1001	8	flamingo	59	44	52	44																																		1
2	1	1	1001	9	crane	74	91	73	81																																		1
2	1	1	1001	10	cricket	69	78	62	74																																		1
2	1	1	1001	11											2	42	27	42	NA	NA																							1
2	1	1	1001	12										2	1	18	18	51	2	42																							1
2	1	1	1001	13										2	2	20	10	20	1	18																							1
2	1	1	1001	14										1	1	31	31	44	2	20																							1
2	1	1	1001	15										2	1	28	28	43	1	31																							1
2	1	1	1001	16										2	2	50	12	50	1	28																							1
2	1	1	1001	17										2	2	35	16	35	2	50																							1
2	1	1	1001	18										1	2	44	33	44	2	35																							1
2	1	1	1001	19										2	2	30	41	30	2	44																							1
2	1	1	1001	20										2	2	21	43	21	2	30																							1
2	1	1	1001	21										2	2	29	43	29	2	21																							1
2	1	1	1001	22										2	2	35	25	35	2	29																							1
2	1	1	1001	23										2	1	12	12	33	2	35																							1
2	1	1	1001	24										2	1	35	35	30	1	12																							1
2	1	1	1001	25										1	2	25	32	25	1	35	30	1	4	4	3	3	4	8	4	4	3	3	4	4	5	8	6	6	6	6	5	6	1
2	1	2	1002	1						127	42	98	42.5																														2
2	1	2	1002	2						67	61	80	62.2																														2
2	1	2	1002	3						326	311	327	311.6																														2
2	1	2	1002	4						229	231	216	224.8																														2
2	1	2	1002	5						199	181	204	181																														2
2	1	2	1002	6											2	27	33	27	NA	NA																							2
2	1	2	1002	7										2	2	47	39	47	2	27																							2
2	1	2	1002	8										2	2	50	33	50	2	47																							2
2	1	2	1002	9										2	1	20	20	24	2	50																							2
2	1	2	1002	10										2	2	37	21	37	1	20																							2
2	1	2	1002	11										2	2	53	34	53	2	37																							2
2	1	2	1002	12										2	2	34	20	34	2	53																							2
2	1	2	1002	13										2	2	27	23	27	2	34																							2
2	1	2	1002	14										2	2	43	37	43	2	27																							2
2	1	2	1002	15										2	2	39	14	39	2	43																							2
2	1	2	1002	16										2	2	33	15	33	2	39																							2
2	1	2	1002	17										2	2	22	43	22	2	33																							2
2	1	2	1002	18										2	2	21	44	21	2	22																							2
2	1	2	1002	19										2	2	22	22	22	2	21																							2
2	1	2	1002	20										2	2	32	53	32	2	22																							2
2	1	2	1002	21	ant	93	60	72	60																																		2
2	1	2	1002	22	bee	78	77	91	77																																		2
2	1	2	1002	23	flamingo	59	67	54	67																																		2
2	1	2	1002	24	crane	74	85	68	85																																		2
2	1	2	1002	25	cricket	69	74	59	74												37	0	1	5	2	2	1	6	1	5	1	9	1	9	8	9	9	9	2	1	6	1	2
2	1	3	1003	1	ant	93	73	89	76																																		3
2	1	3	1003	2	bee	78	78	91	81																																		3
2	1	3	1003	3	flamingo	59	52	64	55																																		3
2	1	3	1003	4	crane	74	60	72	62																																		3
2	1	3	1003	5	cricket	69	60	72	63																																		3
2	1	3	1003	6											1	12	12	27	NA	NA																							3
2	1	3	1003	7										2	2	20	39	20	1	12																							3
2	1	3	1003	8										2	2	14	37	14	2	20																							3
2	1	3	1003	9										1	2	37	43	37	2	14																							3
2	1	3	1003	10										1	2	51	37	51	2	37																							3
2	1	3	1003	11										1	2	39	25	39	2	51																							3
2	1	3	1003	12										2	2	42	13	42	2	39																							3
2	1	3	1003	13										2	1	20	20	16	2	42																							3
2	1	3	1003	14										2	2	43	36	43	1	20																							3
2	1	3	1003	15										2	2	23	12	23	2	43																							3
2	1	3	1003	16										2	2	34	43	34	2	23																							3
2	1	3	1003	17										1	2	49	12	49	2	34																							3
2	1	3	1003	18										2	2	45	33	45	2	49																							3
2	1	3	1003	19										2	2	12	35	12	2	45																							3
2	1	3	1003	20										2	2	34	40	34	2	12																							3
2	1	3	1003	21						127	132	98	124.7																														3
2	1	3	1003	22						67	57	68	53																														3
2	1	3	1003	23						326	307	327	313																														3
2	1	3	1003	24						229	219	232	225.6																														3
2	1	3	1003	25						199	209	182	202								42	0	1	1	4	6	1	4	3	8	6	9	2	6	9	1	5	7	8	8	8	9	3
2	1	5	1005	1											2	22	42	22	NA	NA																							5
2	1	5	1005	2										2	1	38	38	39	2	22																							5
2	1	5	1005	3										2	1	1	1	55	1	38																							5
2	1	5	1005	4										2	2	48	28	48	1	1																							5
2	1	5	1005	5										2	2	32	41	32	2	48																							5
2	1	5	1005	6										2	2	56	37	56	2	32																							5
2	1	5	1005	7										1	2	23	45	23	2	56																							5
2	1	5	1005	8										2	2	31	13	31	2	23																							5
2	1	5	1005	9										1	2	38	42	38	2	31																							5
2	1	5	1005	10										2	2	38	26	38	2	38																							5
2	1	5	1005	11										2	2	32	51	32	2	38																							5
2	1	5	1005	12										1	2	30	41	30	2	32																							5
2	1	5	1005	13										2	2	39	22	39	2	30																							5
2	1	5	1005	14										1	2	41	26	41	2	39																							5
