session	playerNr	obsSocialInfo1	obsSocialInfo2	obsSocialInfo3	obsSocialInfo4	obsSocialInfo5	ants	bees	flamingos	cranes	crickets	ants_revised	bees_revised	flamingos_revised	cranes_revised	crickets_revised	IOS	conf1	conf2	conf3	conf4	conf5	conf6	conf7	conf8	conf9	conf10	conf11	indiv1	coll1	coll2	indiv2	indiv3	coll3	coll4	indiv4	age	gender	playerNr_R	obsSocialInfo1_R	obsSocialInfo2_R	obsSocialInfo3_R	obsSocialInfo4_R	obsSocialInfo5_R	ants_R	bees_R	flamingos_R	cranes_R	crickets_R	ants_revised_R	bees_revised_R	flamingos_revised_R	cranes_revised_R	crickets_revised_R	IOS_R	conf1_R	conf2_R	conf3_R	conf4_R	conf5_R	conf6_R	conf7_R	conf8_R	conf9_R	conf10_R	conf11_R	indiv1_R	coll1_R	coll2_R	indiv2_R	indiv3_R	coll3_R	coll4_R	indiv4_R	age_R	gender_R	playerNr_RR	obsSocialInfo1_RR	obsSocialInfo2_RR	obsSocialInfo3_RR	obsSocialInfo4_RR	obsSocialInfo5_RR	ants_RR	bees_RR	flamingos_RR	cranes_RR	crickets_RR	ants_revised_RR	bees_revised_RR	flamingos_revised_RR	cranes_revised_RR	crickets_revised_RR	IOS_RR	conf1_RR	conf2_RR	conf3_RR	conf4_RR	conf5_RR	conf6_RR	conf7_RR	conf8_RR	conf9_RR	conf10_RR	conf11_RR	indiv1_RR	coll1_RR	coll2_RR	indiv2_RR	indiv3_RR	coll3_RR	coll4_RR	indiv4_RR	age_RR	gender_RR
2	3	100	77	64	83	80	82	67	53	73	65	85	66	55	75	68	1	6	4	6	3	4	6	7	6	5	3	7	7	5	6	7	8	5	6	8	48	1	22	20	95	87	96	79	19	83	73	84	63	79	88	77	86	66	2	6	3	4	2	4	6	7	5	5	3	7	8	5	6	6	7	4	6	7	48	1	3	98	77	50	68	75	78	67	63	59	60	84	68	58	62	65	2	6	3	4	3	4	5	7	5	5	4	7	7	7	7	8	8	4	7	7	49	1
2	41	69	65	54	80	56	55	57	45	69	75	62	60	49	74	67	2	5	3	5	1	5	6	5	4	6	4	5	8	8	9	7	9	6	7	8	52	2	38	40	52	67	88	66	30	45	56	76	54	34	50	62	85	56	3	6	5	6	2	5	4	5	5	7	4	5	6	8	6	7	7	5	6	8	52	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	33	120	77	66	80	60	90	90	55	70	80	110	80	60	75	70	4	6	4	4	2	5	3	7	4	6	5	6	7	4	5	5	6	6	6	6	30	1	20	60	100	64	85	75	80	90	80	100	60	70	95	72	93	67	4	6	4	3	2	3	4	7	3	6	5	6	7	5	5	6	6	6	7	7	30	1	22	95	85	60	64	75	75	75	50	75	60	85	80	55	70	67	5	7	5	3	2	4	3	8	4	6	4	7	7	5	6	5	7	7	8	8	30	1
1	45	69	80	60	76	62	55	70	50	66	50	60	70	55	70	55	2	7	8	4	7	6	3	6	3	8	6	7	7	5	5	8	8	9	8	8	41	1	19	90	81	95	110	75	120	95	120	130	60	100	85	110	125	60	2	7	8	2	5	6	2	8	3	7	6	6	8	6	6	7	7	9	8	9	41	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	47	95	52	66	72	75	75	45	55	85	60	85	50	60	78	70	4	6	4	7	2	3	6	7	6	6	4	8	7	8	6	7	8	6	8	8	55	2	25	65	63	68	75	54	85	55	85	90	43	75	55	75	85	48	5	6	3	6	3	4	6	7	5	6	6	7	9	8	6	8	9	7	8	9	55	2	37	100	88	59	88	76	88	76	74	102	61	92	83	63	98	68	5	6	3	6	3	5	7	7	4	7	4	8	9	8	3	9	9	7	8	9	56	2
1	27	69	53	49	70	80	55	46	41	61	64	60	48	41	62	70	2	6	7	4	6	5	3	6	4	7	5	7	7	5	5	8	8	5	5	7	34	1	33	77	88	85	99	75	62	76	71	86	60	65	80	75	90	64	2	6	4	4	6	3	5	7	4	7	6	7	8	5	6	8	8	5	5	7	34	1	11	69	63	50	78	55	55	55	42	68	44	60	60	42	70	48	3	5	7	4	6	4	3	7	2	7	5	8	8	5	5	8	8	5	6	8	35	1
1	28	62	72	66	80	62	50	62	55	70	50	50	62	55	70	55	1	6	5	6	7	4	5	6	4	6	4	9	9	9	7	9	7	9	9	7	55	2	18	68	58	76	80	82	55	50	64	70	65	68	55	70	75	70	1	6	7	7	8	6	5	7	4	7	5	8	9	9	9	9	9	9	9	9	55	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	14	80	75	66	75	75	65	65	55	65	60	72	70	60	70	65	3	3	6	3	3	6	4	7	3	7	3	8	7	2	3	7	8	2	4	8	37	1	12	80	80	78	68	69	65	70	65	60	55	70	75	70	64	60	2	3	6	3	3	3	3	7	3	7	2	8	7	2	5	6	8	2	4	8	37	1	1	69	70	60	75	80	55	60	50	65	65	60	65	52	70	75	2	4	5	3	2	3	2	7	3	7	2	8	7	2	4	6	8	2	3	8	37	1
2	25	56	44	40	69	45	45	38	34	60	35	50	40	37	65	40	1	5	5	4	2	6	5	5	5	5	5	5	6	5	5	5	5	6	6	6	32	1	31	56	69	55	62	65	45	60	45	55	52	50	65	50	57	60	2	5	6	5	2	5	5	5	5	5	6	5	5	5	5	5	5	5	7	6	32	1	29	75	58	48	75	45	60	50	40	65	35	70	53	43	70	40	1	5	5	4	1	6	5	5	6	5	5	5	5	5	7	5	5	5	7	6	33	1
2	66	55	65	65	78	56	43	56	54	68	45	46	56	57	69	47	3	5	3	6	1	8	7	9	2	9	4	9	6	2	4	7	9	7	5	9	19	1	75	43	60	78	80	57	35	52	65	70	45	38	55	67	70	48	3	4	4	3	2	5	4	8	4	7	3	9	7	3	6	8	8	8	5	7	19	1	45	69	77	54	67	69	55	67	45	78	55	60	70	46	73	65	2	5	3	2	1	6	6	8	2	7	3	9	7	5	8	7	7	5	6	9	20	1
